Topic,WordOrder,Word,Prob
0,1,war,0.02569563500583172
0,2,german,0.007576092146337032
0,3,story,0.006648651324212551
0,4,soldier,0.00664812745526433
0,5,american,0.006643825210630894
0,6,british,0.005441582296043634
0,7,wwii,0.005405026488006115
0,8,military,0.005252370145171881
0,9,time,0.004938684869557619
0,10,read,0.004731015767902136
0,11,japanese,0.004701289813965559
0,12,men,0.004138604737818241
0,13,country,0.003934106323868036
0,14,spy,0.003810351015999913
0,15,army,0.003752159420400858
0,16,political,0.0037262546829879284
0,17,people,0.003545966697856784
0,18,nazi,0.003482853528112173
0,19,camp,0.003384816460311413
0,20,life,0.0032949873711913824
1,1,writing,0.010327405296266079
1,2,read,0.010305262170732021
1,3,prose,0.009629604406654835
1,4,work,0.009030476212501526
1,5,writer,0.00856719445437193
1,6,literary,0.008030081167817116
1,7,novel,0.007987448014318943
1,8,character,0.00745041249319911
1,9,time,0.006865227594971657
1,10,style,0.006840167101472616
1,11,literature,0.006762670353055
1,12,reader,0.0067135789431631565
1,13,narrative,0.006042169872671366
1,14,story,0.004734087269753218
1,15,masterpiece,0.004406602121889591
1,16,american,0.004297633655369282
1,17,faulkner,0.0040598525665700436
1,18,fiction,0.003370053367689252
1,19,author,0.0032896557822823524
1,20,century,0.0032711823005229235
2,1,adventure,0.011043411679565907
2,2,island,0.005692628677934408
2,3,story,0.005487943068146706
2,4,sea,0.005052241496741772
2,5,white,0.004841133952140808
2,6,man,0.004441929515451193
2,7,native,0.004422021564096212
2,8,time,0.004011731129139662
2,9,ship,0.003992089536041021
2,10,land,0.003951449878513813
2,11,tale,0.003900698618963361
2,12,century,0.003383551724255085
2,13,indian,0.003343885997310281
2,14,men,0.0032859924249351025
2,15,year,0.0031212784815579653
2,16,captain,0.0030521193984895945
2,17,people,0.0030512495432049036
2,18,king,0.0029692654497921467
2,19,set,0.002916996367275715
2,20,lost,0.002898410428315401
3,1,human,0.005485197529196739
3,2,reader,0.004190068691968918
3,3,question,0.0041637415997684
3,4,people,0.0041015432216227055
3,5,idea,0.003814475145190954
3,6,thing,0.0037363243754953146
3,7,life,0.003561470890417695
3,8,society,0.003475755685940385
3,9,work,0.0034229462035000324
3,10,character,0.0029395308811217546
3,11,fact,0.002921793842688203
3,12,nature,0.0027922973968088627
3,13,moral,0.0027876710519194603
3,14,sense,0.002784535987302661
3,15,mind,0.0024549488443881273
3,16,man,0.002419636119157076
3,17,theme,0.002382213482633233
3,18,person,0.002344123087823391
3,19,view,0.002293072873726487
3,20,individual,0.0021511197555810213
4,1,read,0.011963357217609882
4,2,thing,0.010950552299618721
4,3,love,0.008035772480070591
4,4,good,0.007859807461500168
4,5,time,0.007104247808456421
4,6,story,0.007098773960024118
4,7,king,0.007079176139086485
4,8,people,0.006961657665669918
4,9,thought,0.0056980368681252
4,10,bad,0.0056936233304440975
4,11,horror,0.005116417538374662
4,12,life,0.005092326086014509
4,13,guy,0.00491131329908967
4,14,stephen,0.004775556735694408
4,15,friend,0.004654703661799431
4,16,kind,0.0046028560027480125
4,17,feel,0.004548448603600264
4,18,day,0.0045118811540305614
4,19,scary,0.004400867968797684
4,20,movie,0.004329250659793615
5,1,ring,0.007133752107620239
5,2,king,0.006362744607031345
5,3,lord,0.0062932842411100864
5,4,tolkien,0.0059100002981722355
5,5,epic,0.004707906860858202
5,6,hero,0.004675853531807661
5,7,evil,0.004655768163502216
5,8,duma,0.00456884503364563
5,9,fantasy,0.00439115846529603
5,10,sam,0.004267462063580751
5,11,adventure,0.003983568400144577
5,12,musketeer,0.003897004062309861
5,13,trilogy,0.0037830520886927843
5,14,love,0.00365759851410985
5,15,story,0.003413269529119134
5,16,time,0.0033709935378283262
5,17,sword,0.0032567987218499184
5,18,character,0.0032521437387913465
5,19,count,0.0032428030390292406
5,20,frodo,0.0032369547989219427
6,1,story,0.024764293804764748
6,2,read,0.022681934759020805
6,3,life,0.018464967608451843
6,4,character,0.016402779147028923
6,5,time,0.012936985120177269
6,6,history,0.01063639298081398
6,7,love,0.010534842498600483
6,8,written,0.010426978580653667
6,9,historical,0.00892025325447321
6,10,great,0.008256054483354092
6,11,people,0.008142076432704926
6,12,fiction,0.00712544796988368
6,13,author,0.006846943404525518
6,14,recommend,0.006625999230891466
6,15,interesting,0.006290337070822716
6,16,war,0.0062001608312129974
6,17,beautifully,0.006163082085549831
6,18,family,0.005677964072674513
6,19,good,0.0055063082836568356
6,20,beautiful,0.005421178415417671
7,1,child,0.014388703741133213
7,2,story,0.012011210434138775
7,3,boy,0.009203426539897919
7,4,read,0.00908628012984991
7,5,kid,0.007960891351103783
7,6,animal,0.007580832112580538
7,7,dog,0.006936995778232813
7,8,childrens,0.006802871357649565
7,9,adventure,0.005945813376456499
7,10,young,0.00522798765450716
7,11,adult,0.005003204103559256
7,12,love,0.004997714422643185
7,13,great,0.004855572711676359
7,14,illustration,0.004791651852428913
7,15,life,0.004252401180565357
7,16,family,0.004231353290379047
7,17,thing,0.0041031804867088795
7,18,disney,0.0039716847240924835
7,19,parent,0.0038554049097001553
7,20,fun,0.0038502123206853867
8,1,mystery,0.01850672997534275
8,2,murder,0.01780446618795395
8,3,crime,0.008272277191281319
8,4,detective,0.0074112932197749615
8,5,christie,0.006696729455143213
8,6,police,0.006576914805918932
8,7,story,0.006017459090799093
8,8,character,0.005985688883811235
8,9,read,0.005567964166402817
8,10,case,0.005410315003246069
8,11,agatha,0.004882533103227615
8,12,murderer,0.004806350450962782
8,13,suspect,0.004463735036551952
8,14,clue,0.004234689753502607
8,15,killer,0.003964148461818695
8,16,murdered,0.003932444844394922
8,17,investigation,0.003850721986964345
8,18,plot,0.003750582691282034
8,19,solve,0.003682891372591257
8,20,good,0.0036644230131059885
9,1,character,0.012765810824930668
9,2,leonard,0.00913476012647152
9,3,read,0.008299866691231728
9,4,story,0.008187041617929935
9,5,good,0.007652259897440672
9,6,noir,0.007387444842606783
9,7,western,0.007301300764083862
9,8,greene,0.0072078094817698
9,9,man,0.006893431767821312
9,10,crime,0.006748153828084469
9,11,guy,0.006122661288827658
9,12,elmore,0.005634137894958258
9,13,woman,0.005467353388667107
9,14,dialogue,0.005407364573329687
9,15,graham,0.005279719829559326
9,16,life,0.004895438440144062
9,17,great,0.004645579494535923
9,18,love,0.004555650521069765
9,19,thompson,0.004520255606621504
9,20,west,0.00447516655549407
10,1,man,0.005388764664530754
10,2,money,0.005267012398689985
10,3,life,0.005260801408439875
10,4,wife,0.005134125705808401
10,5,family,0.0049021500162780285
10,6,town,0.004239680711179972
10,7,day,0.0037881764583289623
10,8,people,0.0036629599053412676
10,9,job,0.0035458465572446585
10,10,friend,0.0033887343015521765
10,11,york,0.0032263249158859253
10,12,work,0.0030726436525583267
10,13,street,0.0029671627562493086
10,14,city,0.002867035800591111
10,15,take,0.002800773596391082
10,16,small,0.0026754215359687805
10,17,father,0.002666992601007223
10,18,men,0.002625594148412347
10,19,house,0.002566656330600381
10,20,car,0.0025649294257164
11,1,read,0.02981727011501789
11,2,character,0.02762751094996929
11,3,loved,0.02361592836678028
11,4,love,0.020548982545733452
11,5,story,0.019848402589559555
11,6,time,0.015414479188621044
11,7,movie,0.011060941964387894
11,8,feel,0.010419734753668308
11,9,felt,0.010162103921175003
11,10,favorite,0.009126132354140282
11,11,enjoyed,0.008745141327381134
11,12,thought,0.008414605632424355
11,13,thing,0.008274126797914505
11,14,amazing,0.008168148808181286
11,15,good,0.007245166227221489
11,16,great,0.007068439852446318
11,17,absolutely,0.007006512023508549
11,18,writing,0.0066901324316859245
11,19,main,0.006427941378206015
11,20,life,0.005860527046024799
12,1,read,0.018608808517456055
12,2,story,0.011624821461737156
12,3,funny,0.011391690000891685
12,4,version,0.007786103058606386
12,5,character,0.007592581212520599
12,6,time,0.007419179659336805
12,7,language,0.007349105551838875
12,8,english,0.00732374144718051
12,9,classic,0.007011787965893745
12,10,listened,0.0068612173199653625
12,11,dickens,0.006630247924476862
12,12,audiobook,0.006588838063180447
12,13,audio,0.006120792590081692
12,14,tale,0.006074723321944475
12,15,humor,0.005913055036216974
12,16,work,0.005809391383081675
12,17,fun,0.0054724691435694695
12,18,voice,0.005116458050906658
12,19,narrator,0.00455147959291935
12,20,translation,0.004534692969173193
13,1,read,0.011378266848623753
13,2,woman,0.01010677870362997
13,3,sex,0.009714829735457897
13,4,character,0.009463967755436897
13,5,story,0.0073354532942175865
13,6,time,0.00732605392113328
13,7,violence,0.006791043095290661
13,8,people,0.006506561301648617
13,9,sexual,0.006386165507137775
13,10,written,0.006294346880167723
13,11,disturbing,0.006174785550683737
13,12,thing,0.005519491154700518
13,13,feel,0.005512678995728493
13,14,scene,0.0045798225328326225
13,15,author,0.004515785723924637
13,16,good,0.004439170006662607
13,17,life,0.004205759614706039
13,18,racism,0.004095196258276701
13,19,female,0.004025021102279425
13,20,pretty,0.0038124267011880875
14,1,review,0.011805389076471329
14,2,series,0.006446765270084143
14,3,read,0.00607524998486042
14,4,harry,0.006018957123160362
14,5,thing,0.005383057985454798
14,6,game,0.005156645551323891
14,7,love,0.0050992220640182495
14,8,time,0.004980538506060839
14,9,yeah,0.004236010368913412
14,10,good,0.004162443336099386
14,11,potter,0.0041128662414848804
14,12,shit,0.0038083225954324007
14,13,blog,0.0037454217672348022
14,14,people,0.003705541603267193
14,15,hate,0.003183807246387005
14,16,guy,0.0031534703448414803
14,17,hunger,0.003117576241493225
14,18,pretty,0.0029775304719805717
14,19,feel,0.002938783261924982
14,20,http,0.002922267420217395
15,1,science,0.014489314518868923
15,2,fiction,0.008653569966554642
15,3,earth,0.006510320119559765
15,4,crichton,0.005860624834895134
15,5,well,0.005501643754541874
15,6,people,0.0051756566390395164
15,7,time,0.005155955906957388
15,8,thing,0.005113753955811262
15,9,technology,0.004976305644959211
15,10,scientist,0.0047945138067007065
15,11,sci-fi,0.0047889710403978825
15,12,future,0.0046858517453074455
15,13,human,0.004680159967392683
15,14,planet,0.004547869320958853
15,15,scientific,0.00450874725356698
15,16,space,0.004506672266870737
15,17,alien,0.004395209718495607
15,18,read,0.003997053951025009
15,19,story,0.003968826495110989
15,20,idea,0.003937914036214352
16,1,holmes,0.011200696229934692
16,2,sherlock,0.009518555365502834
16,3,doyle,0.005758767016232014
16,4,arthur,0.005449553951621056
16,5,watson,0.005159197375178337
16,6,read,0.004799049813300371
16,7,archer,0.0046348669566214085
16,8,detective,0.004522328265011311
16,9,conan,0.004449141677469015
16,10,austen,0.004447282291948795
16,11,mystery,0.004216257017105818
16,12,macdonald,0.004039695952087641
16,13,case,0.004023792687803507
16,14,margaret,0.0040073697455227375
16,15,davy,0.0039265272207558155
16,16,freud,0.0038818439934402704
16,17,sir,0.0038277239073067904
16,18,story,0.0038048613350838423
16,19,lew,0.0037220274098217487
16,20,chandler,0.0036410887259989977
17,1,woman,0.011647611856460571
17,2,love,0.01088801585137844
17,3,life,0.009761486202478409
17,4,young,0.008199991658329964
17,5,man,0.006659148260951042
17,6,mother,0.0061507150530815125
17,7,girl,0.005844335071742535
17,8,story,0.005582740064710379
17,9,family,0.005415486171841621
17,10,character,0.005170863121747971
17,11,husband,0.004979081451892853
17,12,father,0.004706188570708036
17,13,relationship,0.004385005682706833
17,14,marriage,0.0043032788671553135
17,15,child,0.0041845557279884815
17,16,friend,0.004104141611605883
17,17,sister,0.003972064238041639
17,18,wife,0.003963110502809286
17,19,married,0.003943587653338909
17,20,daughter,0.003912713844329119
18,1,read,0.022352153435349464
18,2,character,0.021329710260033607
18,3,story,0.017103319987654686
18,4,time,0.01472535077482462
18,5,interesting,0.0132667301222682
18,6,plot,0.012502103112637997
18,7,good,0.01167982816696167
18,8,writing,0.01163868885487318
18,9,boring,0.009512742049992085
18,10,felt,0.007922561839222908
18,11,thing,0.007551729213446379
18,12,long,0.007493446581065655
18,13,author,0.0068119000643491745
18,14,style,0.006476710084825754
18,15,slow,0.006426930893212557
