book_id,genre
1038590,Fantasy
1038590,Speculative Fiction
576034,Humor
576034,Mystery
576034,Fiction
576034,Crime
576034,Funny
2020399,Fantasy
2020399,Childrens
2020399,Fiction
54479,Classics
54479,Fiction
54479,Adventure
54479,Science Fiction
148841,Fiction
148841,Historical
148841,Historical Fiction
148841,War
148841,Mystery
148841,Thriller
148841,World War II
148841,Mystery Thriller
148841,Suspense
148841,Novels
662798,Fiction
662798,Thriller
662798,Mystery
662798,Crime
662798,Westerns
662798,Literature
662798,Novels
662798,Contemporary
662798,American
662798,Classics
420282,Childrens
420282,Picture Books
420282,Holiday
420282,Christmas
1002728,Fiction
7062599,Horror
7062599,Fiction
7062599,Fantasy
7062599,Shapeshifters
7062599,Werewolves
672988,Fiction
672988,Science Fiction
672988,Thriller
672988,Adventure
1646954,Fiction
1646954,Adventure
5359,Fiction
5359,Mystery
5359,Thriller
5359,Crime
5359,Suspense
2414025,Fiction
2414025,Thriller
2414025,Adventure
2414025,Spy Thriller
2414025,Espionage
2414025,War
2414025,Military Fiction
3069484,Fiction
3069484,Thriller
3069484,Novels
8921,Classics
8921,Mystery
8921,Fiction
8921,Crime
1852,Classics
1852,Fiction
1852,Adventure
1852,Young Adult
1852,Animals
1852,Historical
1852,Historical Fiction
1852,Literature
1852,Academic
1852,School
1852,Childrens
1852,Novels
242514,Young Adult
242514,Fiction
121198,Westerns
121198,Fiction
121198,Historical
121198,Historical Fiction
121198,Classics
121198,Romance
131359,Mystery
131359,Fiction
131359,Crime
131359,Classics
243381,Fiction
243381,European Literature
243381,German Literature
243381,Classics
243381,Cultural
243381,Germany
6916657,Mystery
6916657,Crime
168668,Classics
168668,Fiction
168668,War
168668,Historical
168668,Historical Fiction
168668,Humor
1147119,Fiction
1147119,Historical
1147119,Historical Fiction
1147119,Classics
1147119,Romance
135839,Fiction
135839,Contemporary
135839,Classics
11566,Horror
11566,Fiction
11566,Fantasy
11566,Thriller
985052,Fiction
985052,Mystery
985052,Crime
985052,Thriller
398197,Fiction
398197,Classics
398197,Literature
398197,European Literature
398197,British Literature
398197,Novels
1953,Classics
1953,Fiction
1953,Historical
1953,Historical Fiction
1953,Literature
441240,Horror
441240,Fiction
441240,Science Fiction
4934,Classics
4934,Fiction
4934,Cultural
4934,Russia
4934,Literature
4934,Russian Literature
387937,Fiction
387937,Humor
387937,Comedy
387937,Medical
387937,European Literature
387937,British Literature
536285,Young Adult
536285,Fantasy
536285,Science Fiction
536285,Dystopia
536285,Fiction
24780,Fantasy
24780,Young Adult
24780,Fiction
24780,Childrens
969177,Novels
969177,Fiction
969177,Romance
969177,Asian Literature
969177,Indonesian Literature
969177,Religion
969177,Islam
15818477,Science Fiction
2325777,Fiction
2325777,Thriller
2325777,Science Fiction
2325777,War
2325777,Classics
2325777,Suspense
2325777,Historical
2325777,Historical Fiction
2325777,Military Fiction
2325777,Apocalyptic
2325777,Post Apocalyptic
2325777,Politics
37941573,Fiction
37941573,Drama
27055,Fiction
27055,Mystery
27055,Sports
27055,Baseball
27055,Sports and Games
27055,Suspense
27055,Crime
27055,Thriller
42933,Historical
42933,Historical Fiction
42933,Fiction
42933,Cultural
42933,China
42933,Adventure
85216,Fiction
85216,Mystery
85216,Crime
1171639,Horror
1743991,Historical
1743991,Historical Fiction
1743991,Fiction
1743991,War
1743991,Cultural
1743991,France
1743991,World War II
247060,Mystery
247060,Fiction
247060,Crime
247060,Noir
247060,Detective
2857588,Science Fiction
2857588,Time Travel
2857588,Fiction
2857588,Romance
2857588,Adventure
2857588,Historical
624988,Fiction
624988,Sports and Games
624988,Sports
148432,Fiction
148432,Literature
148432,Latin American Literature
148432,Cultural
148432,Latin American
