,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdb_id
679,Coins in the Fountain,1952,John Hermes Secondari,Three Coins in the Fountain,1954,Three Coins in the Fountain 1954,41503
680,Coins in the Fountain,1952,John Hermes Secondari,The Pleasure Seekers,1964,The Pleasure Seekers 1964,95358
681,Coins in the Fountain,1952,John Hermes Secondari,Coins in the Fountain,1990,Coins in the Fountain 1990,0
682,Cold Mountain,1997,Charles Frazier,Cold Mountain,2003,Cold Mountain 2003,2289
683,The Color of Money,1984,Walter Tevis,The Color of Money,1986,The Color of Money 1986,11873
684,The Color Purple,1982,Alice Walker,The Color Purple,1985,The Color Purple 1985,873
685,The Colors of the Day,1952,Romain Gary,The Man Who Understood Women,1959,The Man Who Understood Women 1959,239175
686,Colossus,1966,Dennis Feltham Jones,Colossus: The Forbin Project,1970,Colossus: The Forbin Project 1970,14801
687,The Comfort of Strangers,1981,Ian McEwan,The Comfort of Strangers,1990,The Comfort of Strangers 1990,41925
688,Como agua para chocolate,1989,Laura Esquivel,Like Water for Chocolate,1992,Like Water for Chocolate 1992,18183
689,Compulsion,1956,Meyer Levin,Compulsion,1959,Compulsion 1959,35921
690,Comrade Jacob,1961,David Caute,Winstanley,1975,Winstanley 1975,128891
691,Comrades,0,0,Bolshevism on Trial,1919,Bolshevism on Trial 1919,297413
692,The Constant Nymph,1923,Margaret Kennedy,The Constant Nymph,1928,The Constant Nymph 1928,97115
693,The Constant Nymph,1923,Margaret Kennedy,The Constant Nymph,1933,The Constant Nymph 1933,133185
694,The Constant Nymph,1923,Margaret Kennedy,The Constant Nymph,1943,The Constant Nymph 1943,85677
695,Cool Hand Luke,1965,Donn Pearce,Cool Hand Luke,1967,Cool Hand Luke 1967,903
696,Cool Hand Luke,1965,Donn Pearce,Cool Hand Luke,1967,Cool Hand Luke 1967,903
697,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1908,The Count of Monte Cristo 1908,0
698,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1913,The Count of Monte Cristo 1913,282512
699,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1929,The Count of Monte Cristo 1929,0
700,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1934,The Count of Monte Cristo 1934,43691
701,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Son of Monte Cristo,1940,The Son of Monte Cristo 1940,80086
702,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Return of Monte Cristo,0,The Return of Monte Cristo 0,0
703,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Return of Monte Cristo,0,The Return of Monte Cristo 0,0
704,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",Monte Cristo's Revenge,1946,Monte Cristo's Revenge 1946,0
705,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",El Conde de Monte Cristo,0,El Conde de Monte Cristo 0,0
706,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1943,The Count of Monte Cristo 1943,0
707,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1943,The Count of Monte Cristo 1943,0
708,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",Mask of the Avenger,1951,Mask of the Avenger 1951,174624
709,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1958,The Count of Monte Cristo 1958,0
710,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1961,The Count of Monte Cristo 1961,4528
711,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Treasure of Monte Cristo,1961,The Treasure of Monte Cristo 1961,253158
712,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",Under the Sign of Monte Carlo,1968,Under the Sign of Monte Carlo 1968,0
713,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1975,The Count of Monte Cristo 1975,0
714,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1979,The Count of Monte Cristo 1979,0
715,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1955,The Count of Monte Cristo 1955,0
716,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",Padayottam,1982,Padayottam 1982,277952
717,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",Veta,1986,Veta 1986,279299
718,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",Uznik Zamka If,1988,Uznik Zamka If 1988,0
719,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,1998,The Count of Monte Cristo 1998,0
720,Le comte de Monte Cristo,1844,"Alexandre Dumas, père",The Count of Monte Cristo,2002,The Count of Monte Cristo 2002,11362
721,The Comedians,1966,Graham Greene,The Comedians,1967,The Comedians 1967,86059
722,[[Louis L'Amour#Novels - Conagher (1968) ISBN 0-553-28101-1|Conagher]],1968,Louis L'Amour,Conagher,1991,Conagher 1991,0
723,La comtesse de Cagliostro,1924,Maurice Leblanc,Arsène Lupin,2004,Arsène Lupin 2004,0
724,Confessions of a Crap Artist,1975,Philip K. Dick,Confessions d'un Barjo,0,Confessions d'un Barjo 0,0
725,Confessions of a Crap Artist,1975,Philip K. Dick,Confessions of a Barjo,1992,Confessions of a Barjo 1992,0
726,Congo,1980,Michael Crichton,Congo,1995,Congo 1995,10329
727,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,A Connecticut Yankee in King Arthur's Court,1921,A Connecticut Yankee in King Arthur's Court 1921,308372
728,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,A Connecticut Yankee,1931,A Connecticut Yankee 1931,110781
729,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,A Connecticut Yankee in King Arthur's Court,1949,A Connecticut Yankee in King Arthur's Court 1949,36848
730,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,A Connecticut Yankee,1955,A Connecticut Yankee 1955,440245
731,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,Un español en la corte del rey Arturo,1964,Un español en la corte del rey Arturo 1964,545301
732,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,A Connecticut Rabbit in King Arthur's Court,1978,A Connecticut Rabbit in King Arthur's Court 1978,39328
733,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,Unidentified Flying Oddball,1979,Unidentified Flying Oddball 1979,0
734,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,Novye priklyucheniya yanki pri dvore korolya Artura,1988,Novye priklyucheniya yanki pri dvore korolya Artura 1988,0
735,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,A Connecticut Yankee in King Arthur's Court,1989,A Connecticut Yankee in King Arthur's Court 1989,101135
736,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,A Kid in King Arthur's Court,1995,A Kid in King Arthur's Court 1995,37108
737,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,A Kid in Aladdin's Palace,1998,A Kid in Aladdin's Palace 1998,22162
738,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,A Young Connecticut Yankee in King Arthur's Court,1996,A Young Connecticut Yankee in King Arthur's Court 1996,0
739,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,A Knight in Camelot,1998,A Knight in Camelot 1998,24793
740,A Connecticut Yankee in King Arthur's Court,1889,Mark Twain,Black Knight,2001,Black Knight 2001,11469
741,The Constant Gardener,2001,John le Carré,The Constant Gardener,2005,The Constant Gardener 2005,1985
742,Contact,1985,Carl Sagan,Contact,1997,Contact 1997,686
743,Cops and Robbers,1972,Donald E. Westlake,Cops and Robbers,1973,Cops and Robbers 1973,88359
744,Corazón salvaje,1957,Caridad Bravo Adams,Corazón salvaje,1956,Corazón salvaje 1956,473851
745,Corazón salvaje,1957,Caridad Bravo Adams,Juan del Diablo,1960,Juan del Diablo 1960,0
746,Corazón salvaje,1957,Caridad Bravo Adams,Corazón salvaje,1968,Corazón salvaje 1968,52168
747,Coroner Creek,1945,Luke Short,Coroner Creek,1948,Coroner Creek 1948,60565
748,The Cowboys,1971,William Dale Jennings,The Cowboys,1972,The Cowboys 1972,15573
749,Cracking India,1991,Bapsi Sidhwa,Earth,1998,Earth 1998,0
750,Crash,1973,J. G. Ballard,Crash,1996,Crash 1996,884
751,Creator,1980,Jeremy Leven,Creator,1985,Creator 1985,41243
752,O Crime do Padre Amaro,1875,José Maria de Eça de Queiroz,El crimen del Padre Amaro,0,El crimen del Padre Amaro 0,0
753,O Crime do Padre Amaro,1875,José Maria de Eça de Queiroz,The Crime of Father Amaro,2002,The Crime of Father Amaro 2002,0
754,O Crime do Padre Amaro,1875,José Maria de Eça de Queiroz,O Crime do Padre Amaro,2005,O Crime do Padre Amaro 2005,32925
755,[[Louis L'Amour#Novels - Crossfire Trail (1954) ISBN 0-553-28099-6|Crossfire Trail]],1954,Louis L'Amour,Crossfire Trail,2001,Crossfire Trail 2001,35381
756,"Crouching Tiger, Hidden Dragon",1942,Wang Dulu,"Crouching Tiger, Hidden Dragon",2000,"Crouching Tiger, Hidden Dragon 2000",146
757,The Cruel Sea,1951,Nicholas Monsarrat,The Cruel Sea,1953,The Cruel Sea 1953,16914
758,Cry Wolf,1945,0,Cry Wolf,1947,Cry Wolf 1947,62720
759,Cutter and Bone,1976,Newton Thornburg,Cutter's Way,1981,Cutter's Way 1981,31593
760,Cyborg,1972,Martin Caidin,The Six Million Dollar Man,1973,The Six Million Dollar Man 1973,39829
761,Cycle of the Werewolf,1983,Stephen King,Silver Bullet,1985,Silver Bullet 1985,17898
762,The Cypher,1961,0,Arabesque,1966,Arabesque 1966,23030
763,The Da Vinci Code,2003,Dan Brown,The Da Vinci Code,2006,The Da Vinci Code 2006,591
764,Dad,1981,William Wharton,Dad,1989,Dad 1989,21291
765,Damage,1991,Josephine Hart,Damage,1992,Damage 1992,11012
766,Damnation Alley,1967,Roger Zelazny,Damnation Alley,1977,Damnation Alley 1977,0
767,The Damned Utd,2006,David Peace,The Damned United,2009,The Damned United 2009,21641
768,The Dancer Upstairs,1995,Nicholas Shakespeare,The Dancer Upstairs,2002,The Dancer Upstairs 2002,20689
769,Dances with Wolves,1986,Michael Blake,Dances with Wolves,1990,Dances with Wolves 1990,581
770,A Dandy in Aspic,1966,Derek Marlowe,A Dandy in Aspic,1968,A Dandy in Aspic 1968,84844
771,The Dangerous Lives of Altar Boys,2001,Chris Fuhrman,The Dangerous Lives of Altar Boys,2002,The Dangerous Lives of Altar Boys 2002,16857
772,Daniel Deronda,1876,George Eliot,Daniel Deronda,1921,Daniel Deronda 1921,447430
773,Daniel Deronda,1876,George Eliot,Daniel Deronda,1970,Daniel Deronda 1970,0
774,Daniel Deronda,1876,George Eliot,Daniel Deronda,2002,Daniel Deronda 2002,0
775,"Danny, the Champion of the World",1975,Roald Dahl,"Danny, the Champion of the World",1989,"Danny, the Champion of the World 1989",0
776,Darby O'Gill and the Good People,1926,0,Darby O'Gill and the Little People,1959,Darby O'Gill and the Little People 1959,18887
777,The Dark Fields,2001,Alan Glynn,Limitless,2011,Limitless 2011,51876
778,The Dark Is Rising Sequence,1965,Susan Cooper,The Seeker: The Dark is Rising,2007,The Seeker: The Dark is Rising 2007,0
779,The Dark of the Sun,1965,Wilbur Smith,Dark of the Sun,1968,Dark of the Sun 1968,25553
780,Dark Passage,1946,David Goodis,Dark Passage,1947,Dark Passage 1947,16227
781,David Copperfield,1849,Charles Dickens,David Copperfield,1911,David Copperfield 1911,311625
782,David Copperfield,1849,Charles Dickens,David Copperfield,1913,David Copperfield 1913,357997
783,David Copperfield,1849,Charles Dickens,David Copperfield,1922,David Copperfield 1922,341656
784,David Copperfield,1849,Charles Dickens,David Copperfield,1935,David Copperfield 1935,43899
785,David Copperfield,1849,Charles Dickens,David Copperfield,1956,David Copperfield 1956,0
786,David Copperfield,1849,Charles Dickens,David Copperfield,0,David Copperfield 0,0
787,David Copperfield,1849,Charles Dickens,David Copperfield,0,David Copperfield 0,0
788,David Copperfield,1849,Charles Dickens,David Copperfield,1966,David Copperfield 1966,0
789,David Copperfield,1849,Charles Dickens,David Copperfield,1969,David Copperfield 1969,131347
790,David Copperfield,1849,Charles Dickens,David Copperfield,1974,David Copperfield 1974,0
791,David Copperfield,1849,Charles Dickens,David Copperfield,1986,David Copperfield 1986,0
792,David Copperfield,1849,Charles Dickens,David Copperfield,1993,David Copperfield 1993,354957
793,David Copperfield,1849,Charles Dickens,David Copperfield,1999,David Copperfield 1999,524983
794,David Copperfield,1849,Charles Dickens,David Copperfield,2000,David Copperfield 2000,0
795,The Day of the Jackal,1971,Frederick Forsyth,The Day of the Jackal,1973,The Day of the Jackal 1973,4909
796,The Day of the Jackal,1971,Frederick Forsyth,August 1,1988,August 1 1988,238651
797,The Day of the Jackal,1971,Frederick Forsyth,The Jackal,1997,The Jackal 1997,4824
798,The Day of the Locust,1939,Nathanael West,The Day of the Locust,1975,The Day of the Locust 1975,5122
799,The Day of the Triffids,1951,John Wyndham,The Day of the Triffids,1962,The Day of the Triffids 1962,21143
800,The Day of the Triffids,1951,John Wyndham,The Day of the Triffids,2013,The Day of the Triffids 2013,0
801,"The Dark Tower (1998–2012) (series), Stephen King",0,0,The Dark Tower (2017),0,The Dark Tower (2017) 0,0
802,"The Dark Tower (1998–2012) (series), Stephen King",0,0,The Dark Tower,0,The Dark Tower 0,0
803,The Day the World Ended,1977,Gordon Thomas,When Time Ran Out,1980,When Time Ran Out 1980,0
804,The Day They Robbed the Bank of England,1959,0,The Day They Robbed the Bank of England,1960,The Day They Robbed the Bank of England 1960,86225
805,The Daybreakers,1961,Louis L'Amour,The Sacketts,1979,The Sacketts 1979,0
806,Dead Calm,1963,0,Dead Calm,1999,Dead Calm 1999,0
807,The Dead Take No Bows,1941,0,Dressed to Kill,1941,Dressed to Kill 1941,42298
808,The Dead Zone,1979,Stephen King,The Dead Zone,1983,The Dead Zone 1983,11336
809,Deadline at Dawn,1944,Cornell Woolrich,Deadline at Dawn,1946,Deadline at Dawn 1946,34650
810,The Deadly Duo,1959,Richard Jessup,The Deadly Duo,1962,The Deadly Duo 1962,0
811,"Deadly, Unna?",1998,0,Australian Rules,2002,Australian Rules 2002,27018
812,Dealing: or the Berkeley-to-Boston Forty-Brick Lost-Bag Blues,1970,Michael Crichton,Dealing,1972,Dealing 1972,0
813,Dear John,2006,Nicholas Sparks,Dear John,2010,Dear John 2010,22971
814,Death of a Common Man,1946,0,The End of the River,1947,The End of the River 1947,259470
815,Death on the Nile,1937,Agatha Christie,Death on the Nile,1978,Death on the Nile 1978,4192
816,Death on the Nile,1937,Agatha Christie,Death on the Nile,2004,Death on the Nile 2004,0
817,Death Sentence,1975,Brian Garfield,Death Sentence,2007,Death Sentence 2007,11835
818,Death Wish,1972,Brian Garfield,Death Wish,1974,Death Wish 1974,13939
819,The Deceivers,1952,John Masters,The Deceivers,1988,The Deceivers 1988,41968
820,December Boys,1963,Michael Noonan,December Boys,2007,December Boys 2007,4629
821,The Deep,1976,Peter Benchley,The Deep,1977,The Deep 1977,20416
822,The Deep End of the Ocean,1996,Jacquelyn Mitchard,The Deep End of the Ocean,1999,The Deep End of the Ocean 1999,30943
823,Deliverance,1970,James Dickey,Deliverance,1972,Deliverance 1972,0
824,Deluge,1928,S. Fowler Wright,Deluge,1933,Deluge 1933,163293
825,The Deluge,1886,Henryk Sienkiewicz,The Deluge,1974,The Deluge 1974,36627
826,Demon Seed,1973,Dean Koontz,Demon Seed,1977,Demon Seed 1977,18775
827,D'entre les morts,1956,Pierre Boileau and Thomas Narcejac,Vertigo,1958,Vertigo 1958,426
828,Derailed,2003,James Siegel,Derailed,2005,Derailed 2005,8999
829,Desert Fury,1946,0,Desert Fury,1947,Desert Fury 1947,27034
830,Desert Gold,1913,Zane Grey,Desert Gold,1919,Desert Gold 1919,302956
831,Desert Gold,1913,Zane Grey,Desert Gold,1926,Desert Gold 1926,461139
832,Desert Gold,1913,Zane Grey,Desert Gold,1936,Desert Gold 1936,205208
833,Desert Guns,1957,0,Gold of the Seven Saints,1961,Gold of the Seven Saints 1961,0
834,Desert of the Heart,1964,Jane Rule,Desert Hearts,1985,Desert Hearts 1985,294
835,The Desperate Hours,1954,Joseph Hayes,The Desperate Hours,1955,The Desperate Hours 1955,18612
836,The Desperate Hours,1954,Joseph Hayes,Desperate Hours,1990,Desperate Hours 1990,31676
837,The Desperate Hours,1954,Joseph Hayes,36 Ghante,1974,36 Ghante 1974,0
838,Destry Rides Again,1930,Max Brand,Destry Rides Again,1939,Destry Rides Again 1939,43828
839,The Detective,1966,Roderick Thorp,The Detective,1968,The Detective 1968,42636
840,Detective,1997,Arthur Hailey,Detective,2005,Detective 2005,0
841,The Devil Rides Out,1934,Dennis Wheatley,The Devil Rides Out,1967,The Devil Rides Out 1967,0
842,The Devil Wears Prada,2003,Lauren Weisberger,The Devil Wears Prada,2006,The Devil Wears Prada 2006,350
843,The Devil's Advocate,1954,Morris West,Des Teufels Advokat,1977,Des Teufels Advokat 1977,0
844,The Devil's Advocate,1990,Andrew Neiderman,The Devil's Advocate,1997,The Devil's Advocate 1997,1813
845,The Devil's Own,1966,Norah Lofts,The Witches,1966,The Witches 1966,40244
846,The Devils,1872,Fyodor Dostoyevsky,The Possessed,1969,The Possessed 1969,0
847,The Devils,1872,Fyodor Dostoyevsky,La femme publique,1984,La femme publique 1984,0
848,The Devils of Loudun,1969,0,The Devils,1971,The Devils 1971,31767
849,Le Diable au corps,1923,Raymond Radiguet,Devil in the Flesh,1947,Devil in the Flesh 1947,63764
850,Le Diable au corps,1923,Raymond Radiguet,Devil in the Flesh,1986,Devil in the Flesh 1986,35705
851,Le Diable au corps,1923,Raymond Radiguet,Devil in the Flesh,1998,Devil in the Flesh 1998,45431
852,Le Diable au corps,1923,Raymond Radiguet,Devil in the Flesh,1998,Devil in the Flesh 1998,490436
853,The Diamond Hunters,1971,Wilbur Smith,The Kingfisher Caper,1975,The Kingfisher Caper 1975,199551
854,Diamonds Are Forever,1956,Ian Fleming,Diamonds Are Forever,1971,Diamonds Are Forever 1971,681
855,The Dice of God,1962,0,The Glory Guys,1965,The Glory Guys 1965,37377
856,The Dirty Dozen,1965,E. M. Nathanson,The Dirty Dozen,1967,The Dirty Dozen 1967,1654
857,Dirty Weekend,1991,Helen Zahavi,Dirty Weekend,1993,Dirty Weekend 1993,71829
858,Disappearing Acts,1989,Terry McMillan,Disappearing Acts,2000,Disappearing Acts 2000,45602
859,Disclosure,1994,Michael Crichton,Disclosure,1994,Disclosure 1994,8984
860,The Disorientated Man,1967,0,Scream and Scream Again,1970,Scream and Scream Again 1970,42594
861,Il disprezzo,1954,Alberto Moravia,Contempt,1963,Contempt 1963,266
862,A Distant Trumpet,1951,Paul Horgan,A Distant Trumpet,1964,A Distant Trumpet 1964,69472
863,Divine Secrets of the Ya-Ya Sisterhood,1996,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,2002,Divine Secrets of the Ya-Ya Sisterhood 2002,9583
864,Le Divorce,1997,Diane Johnson,Le Divorce,2003,Le Divorce 2003,9499
865,Do Androids Dream of Electric Sheep?,1967,Philip K. Dick,Blade Runner,1982,Blade Runner 1982,78
866,Doctor in the House,1952,Richard Gordon,Doctor in the House,1954,Doctor in the House 1954,68242
867,Doctor Slaughter,1984,Paul Theroux,Half Moon Street,1986,Half Moon Street 1986,36372
868,Doctor Zhivago,1957,Boris Pasternak,Doctor Zhivago,1965,Doctor Zhivago 1965,0
869,Doctor Zhivago,1957,Boris Pasternak,Doctor Zhivago,2002,Doctor Zhivago 2002,0
870,Dodsworth,1929,Sinclair Lewis,Dodsworth,1936,Dodsworth 1936,31507
871,The Dogs of War,1974,Frederick Forsyth,The Dogs of War,1981,The Dogs of War 1981,0
872,Dog Soldiers,1974,Robert Stone,Who'll Stop the Rain,1978,Who'll Stop the Rain 1978,31941
873,Don Quixote,1605,Miguel de Cervantes,Adventures of the Ingenious Hidalgo Don Quixote,1903,Adventures of the Ingenious Hidalgo Don Quixote 1903,0
874,Don Quixote,1605,Miguel de Cervantes,Don Quijote,1908,Don Quijote 1908,0
875,Don Quixote,1605,Miguel de Cervantes,Don Quichotte,1908,Don Quichotte 1908,0
876,Don Quixote,1605,Miguel de Cervantes,Don Quixote,1915,Don Quixote 1915,0
877,Don Quixote,1605,Miguel de Cervantes,Don Quixote,1923,Don Quixote 1923,539768
878,Don Quixote,1605,Miguel de Cervantes,Don Quixote,1927,Don Quixote 1927,0
879,Don Quixote,1605,Miguel de Cervantes,Don Quixote (1933 film),1933,Don Quixote (1933 film) 1933,0
880,Don Quixote,1605,Miguel de Cervantes,Don Quichotte,1933,Don Quichotte 1933,0
881,Don Quixote,1605,Miguel de Cervantes,Don Quichotte,1933,Don Quichotte 1933,0
882,Don Quixote,1605,Miguel de Cervantes,Don Quixote,1934,Don Quixote 1934,174505
883,Don Quixote,1605,Miguel de Cervantes,Don Quixote de la Mancha,1947,Don Quixote de la Mancha 1947,0
884,Don Quixote,1605,Miguel de Cervantes,Don Quixote,1955,Don Quixote 1955,0
885,Don Quixote,1605,Miguel de Cervantes,Don Quixote,1957,Don Quixote 1957,84782
886,Don Quixote,1605,Miguel de Cervantes,Don Quixote's Children,1965,Don Quixote's Children 1965,0
887,Don Quixote,1605,Miguel de Cervantes,Don Chisciotte e Sancho Panza,1969,Don Chisciotte e Sancho Panza 1969,0
888,Don Quixote,1605,Miguel de Cervantes,Man of La Mancha,1972,Man of La Mancha 1972,45793
889,Don Quixote,1605,Miguel de Cervantes,The Adventures of Don Quixote,1973,The Adventures of Don Quixote 1973,0
890,Don Quixote,1605,Miguel de Cervantes,The Amorous Adventures of Don Quixote and Sancho Panza,1976,The Amorous Adventures of Don Quixote and Sancho Panza 1976,30828
891,Don Quixote,1605,Miguel de Cervantes,Don Chisciotte,1983,Don Chisciotte 1983,0
892,Don Quixote,1605,Miguel de Cervantes,Don Quixote of La Mancha,1987,Don Quixote of La Mancha 1987,539730
893,Don Quixote,1605,Miguel de Cervantes,Don Quijote de Orson Welles,1992,Don Quijote de Orson Welles 1992,0
894,Don Quixote,1605,Miguel de Cervantes,Don Quixote,2000,Don Quixote 2000,207937
895,Don Quixote,1605,Miguel de Cervantes,"Don Quixote, Knight Errant",2002,"Don Quixote, Knight Errant 2002",115725
896,Don Quixote,1605,Miguel de Cervantes,Don Quixote,2010,Don Quixote 2010,67336
897,Don Quixote,1605,Miguel de Cervantes,The Man Who Killed Don Quixote,2014,The Man Who Killed Don Quixote 2014,0
898,Donovan's Brain,1942,Curt Siodmak,The Lady and the Monster,1944,The Lady and the Monster 1944,119168
899,Donovan's Brain,1942,Curt Siodmak,Donovan's Brain,1953,Donovan's Brain 1953,43342
900,Donovan's Brain,1942,Curt Siodmak,The Brain,1962,The Brain 1962,146852
901,Don't Look and It Won't Hurt,1971,Richard Peck,Gas Food Lodging,1992,Gas Food Lodging 1992,47866
902,Don't Say a Word,1991,Andrew Klavan,Don't Say a Word,2001,Don't Say a Word 2001,12103
903,The Dork of Cork,1993,Chet Raymo,Frankie Starlight,1995,Frankie Starlight 1995,73067
904,Double Indemnity,1936,James M. Cain,Double Indemnity,1944,Double Indemnity 1944,996
905,The Double Take,1946,Roy Huggins,I Love Trouble,1948,I Love Trouble 1948,37484
906,Down Will Come Baby,1993,0,Down Will Come Baby,1999,Down Will Come Baby 1999,158701
907,Dracula,1897,Bram Stoker,Dracula,0,Dracula 0,0
908,The Dragon and the George,1976,Gordon R. Dickson,The Flight of Dragons,1982,The Flight of Dragons 1982,27273
909,Dragon Seed,1942,Pearl S. Buck,Dragon Seed,1944,Dragon Seed 1944,123665
910,Dragons of Autumn Twilight,1984,Margaret Weis,Dragonlance: Dragons of Autumn Twilight,2008,Dragonlance: Dragons of Autumn Twilight 2008,0
911,Dream Days,1898,Kenneth Grahame,The Reluctant Dragon,1941,The Reluctant Dragon 1941,22752
912,The Dream Master,1966,Roger Zelazny,Dreamscape,1984,Dreamscape 1984,24099
913,Dreamcatcher,2001,Stephen King,Dreamcatcher,2003,Dreamcatcher 2003,6171
914,The Drift Fence,1933,Zane Grey,Drift Fence,1936,Drift Fence 1936,78157
915,Dr. No,1958,Ian Fleming,Dr. No,1962,Dr. No 1962,646
916,Drood,2009,Dan Simmons,Drood,2014,Drood 2014,0
917,The Drowning Pool,1950,Ross Macdonald,The Drowning Pool,1975,The Drowning Pool 1975,32620
918,Drums Along the Mohawk,1936,Walter D. Edmonds,Drums Along the Mohawk,1939,Drums Along the Mohawk 1939,0
919,The Drums of Jeopardy,1920,Harold MacGrath,The Drums of Jeopardy,1923,The Drums of Jeopardy 1923,337483
920,The Drums of Jeopardy,1920,Harold MacGrath,The Drums of Jeopardy,1931,The Drums of Jeopardy 1931,156344
921,The Dude Ranger,1951,Zane Grey,The Dude Ranger,1954,The Dude Ranger 1954,0
922,Duel in the Sun,1941,Niven Busch,Duel in the Sun,1946,Duel in the Sun 1946,32275
923,Dune,1965,Frank Herbert,Dune,1984,Dune 1984,841
924,Dune,1965,Frank Herbert,Frank Herbert's Dune,2000,Frank Herbert's Dune 2000,0
925,Dune,1965,Frank Herbert,Frank Herbert's Children of Dune,2003,Frank Herbert's Children of Dune 2003,0
926,Dune,1965,Frank Herbert,Dune,0,Dune 0,0
927,The Dying Animal,2001,Philip Roth,Elegy,2008,Elegy 2008,11671
928,Dying Young,1990,Marti Leimbach,Dying Young,1991,Dying Young 1991,9079
929,The Eagle Has Landed,1975,Jack Higgins,The Eagle Has Landed,1976,The Eagle Has Landed 1976,11372
930,The Eagle of the Ninth,1954,Rosemary Sutcliff,The Eagle,2011,The Eagle 2011,49494
931,East of Eden,1952,John Steinbeck,East of Eden,1955,East of Eden 1955,220
932,Eaters of the Dead,1976,Michael Crichton,The 13th Warrior,1999,The 13th Warrior 1999,1911
933,Eddie and the Cruisers,1980,P. F. Kluge,Eddie and the Cruisers,1983,Eddie and the Cruisers 1983,21721
934,The Egyptian,1945,Mika Waltari,The Egyptian,1954,The Egyptian 1954,24973
935,The Egyptian Series,1995,0,The Seventh Scroll,1999,The Seventh Scroll 1999,0
936,Election,1998,Tom Perrotta,Election,1999,Election 1999,9451
937,Elephant Walk,1948,Digby George Gerahty,Elephant Walk,1954,Elephant Walk 1954,43335
938,Elles n'oublient jamais,1993,Christopher Frank,Elles n'oublient jamais,1994,Elles n'oublient jamais 1994,0
939,Ellis Island,1983,Fred Mustard Stewart,Ellis Island,1984,Ellis Island 1984,0
940,Elmer Gantry,1927,Sinclair Lewis,Elmer Gantry,1960,Elmer Gantry 1960,22013
941,Emma,1815,Jane Austen,Emma,1972,Emma 1972,0
942,Emma,1815,Jane Austen,Clueless,1995,Clueless 1995,9603
943,Emma,1815,Jane Austen,Emma,1996,Emma 1996,3573
944,Emma,1815,Jane Austen,Emma,1996,Emma 1996,12254
945,Emma,1815,Jane Austen,Emma,1996,Emma 1996,3573
946,Emma,1815,Jane Austen,Emma,1996,Emma 1996,12254
947,Emma,1815,Jane Austen,Emma,2009,Emma 2009,0
948,Emma,1815,Jane Austen,Aisha,2009,Aisha 2009,0
949,Emil and the Detectives,1929,Erich Kästner,Emil and the Detectives,1931,Emil and the Detectives 1931,4540
950,Emil and the Detectives,1929,Erich Kästner,Emil and the Detectives,1935,Emil and the Detectives 1935,0
951,Emil and the Detectives,1929,Erich Kästner,Emil and the Detectives,1954,Emil and the Detectives 1954,4544
952,Emil and the Detectives,1929,Erich Kästner,Emil and the Detectives,1964,Emil and the Detectives 1964,4542
953,Emil and the Detectives,1929,Erich Kästner,Emil and the Detectives,2001,Emil and the Detectives 2001,10556
