,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdb_id
56,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1992,Pinocchio 1992,134434
57,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio's Revenge,1996,Pinocchio's Revenge 1996,30926
58,The Adventures of Pinocchio,1883,Carlo Collodi,The Adventures of Pinocchio,1996,The Adventures of Pinocchio 1996,18975
59,The Adventures of Pinocchio,1883,Carlo Collodi,Geppetto,2000,Geppetto 2000,30809
60,The Adventures of Pinocchio,1883,Carlo Collodi,A.I. Artificial Intelligence,2001,A.I. Artificial Intelligence 2001,644
61,The Adventures of Pinocchio,1883,Carlo Collodi,A Tree of Palme,2002,A Tree of Palme 2002,30491
62,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,2002,Pinocchio 2002,10599
63,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio 3000,2004,Pinocchio 3000 2004,23056
64,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,2008,Pinocchio 2008,33821
65,The Adventures of Pinocchio,1883,Carlo Collodi,Pistachio – The Little Boy That Woodn't,2010,Pistachio – The Little Boy That Woodn't 2010,0
66,The Adventures of Sherlock Holmes,1891,Arthur Conan Doyle,"Adventures of Sherlock Holmes; or, Held for Ransom",1905,"Adventures of Sherlock Holmes; or, Held for Ransom 1905",0
67,The Adventures of Sherlock Holmes,1891,Arthur Conan Doyle,The Adventures of Sherlock Holmes,1921,The Adventures of Sherlock Holmes 1921,0
68,The Adventures of Sherlock Holmes,1891,Arthur Conan Doyle,The Adventures of Sherlock Holmes,1939,The Adventures of Sherlock Holmes 1939,17481
69,The Adventures of Sherlock Holmes,1891,Arthur Conan Doyle,The Adventures of Sherlock Holmes and Dr. Watson,1979,The Adventures of Sherlock Holmes and Dr. Watson 1979,0
70,The Adventures of Sherlock Holmes,1891,Arthur Conan Doyle,Sheerluck Holmes and the Golden Ruler,2006,Sheerluck Holmes and the Golden Ruler 2006,0
71,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1907,Tom Sawyer 1907,0
72,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1917,Tom Sawyer 1917,74609
73,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1930,Tom Sawyer 1930,166307
74,The Adventures of Tom Sawyer,1876,Mark Twain,The Adventures of Tom Sawyer,1938,The Adventures of Tom Sawyer 1938,30977
75,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1936,Tom Sawyer 1936,0
76,The Adventures of Tom Sawyer,1876,Mark Twain,The Adventures of Mark Twain,1944,The Adventures of Mark Twain 1944,120747
77,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1973,Tom Sawyer 1973,42473
78,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1973,Tom Sawyer 1973,42473
79,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,1984,Tom Sawyer 1984,0
80,The Adventures of Tom Sawyer,1876,Mark Twain,Tom Sawyer,2000,Tom Sawyer 2000,42313
81,Advise and Consent,1959,Allen Drury,Advise & Consent,1962,Advise & Consent 1962,17185
82,Aelita,0,Alexei Tolstoy,Aelita,1924,Aelita 1924,0
83,The African Queen,1935,C. S. Forester,The African Queen,1951,The African Queen 1951,488
84,"After Dark, My Sweet",1955,Jim Thompson,"After Dark, My Sweet",1990,"After Dark, My Sweet 1990",25501
85,After Hours,1979,Edwin Torres,Carlito's Way,1993,Carlito's Way 1993,6075
86,Carlito's Way,1979,0,Carlito's Way,1993,Carlito's Way 1993,6075
87,After the Funeral,1953,Agatha Christie,Murder at the Gallop,1963,Murder at the Gallop 1963,751
88,The Age of Innocence,1921,Edith Wharton,The Age of Innocence,1924,The Age of Innocence 1924,278294
89,The Age of Innocence,1921,Edith Wharton,The Age of Innocence,1928,The Age of Innocence 1928,0
90,The Age of Innocence,1921,Edith Wharton,The Age of Innocence,1934,The Age of Innocence 1934,110540
91,The Age of Innocence,1921,Edith Wharton,The Age of Innocence,1993,The Age of Innocence 1993,10436
