,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdbid,year
47,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio in Outer Space,1965,Pinocchio in Outer Space 1965,213104,1965
48,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1968,Pinocchio 1968,489453,1968
49,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1972,Pinocchio 1972,250593,1972
50,The Adventures of Pinocchio,1883,Carlo Collodi,The Adventures of Buratino,1975,The Adventures of Buratino 1975,20899,1975
51,"The Golden Key, or the Adventures of Buratino",1936,Aleksey Nikolayevich Tolstoy,The Adventures of Buratino,1975,The Adventures of Buratino 1975,20899,1975
52,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1976,Pinocchio 1976,,
53,The Adventures of Pinocchio,1883,Carlo Collodi,The Adventures of Pinocchio,1984,The Adventures of Pinocchio 1984,,
54,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio and the Emperor of the Night,1987,Pinocchio and the Emperor of the Night 1987,39045,1987
55,The Adventures of Pinocchio,1883,Carlo Collodi,964 Pinocchio,1991,964 Pinocchio 1991,50162,1991
56,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,1992,Pinocchio 1992,134434,1992
57,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio's Revenge,1996,Pinocchio's Revenge 1996,30926,1996
58,The Adventures of Pinocchio,1883,Carlo Collodi,The Adventures of Pinocchio,1996,The Adventures of Pinocchio 1996,18975,1996
59,The Adventures of Pinocchio,1883,Carlo Collodi,Geppetto,2000,Geppetto 2000,30809,2000
60,The Adventures of Pinocchio,1883,Carlo Collodi,A.I. Artificial Intelligence,2001,A.I. Artificial Intelligence 2001,644,2001
61,The Adventures of Pinocchio,1883,Carlo Collodi,A Tree of Palme,2002,A Tree of Palme 2002,30491,2002
62,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,2002,Pinocchio 2002,10599,2002
63,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio 3000,2004,Pinocchio 3000 2004,23056,2004
64,The Adventures of Pinocchio,1883,Carlo Collodi,Pinocchio,2008,Pinocchio 2008,33821,2008
65,The Adventures of Pinocchio,1883,Carlo Collodi,Pistachio – The Little Boy That Woodn't,2010,Pistachio – The Little Boy That Woodn't 2010,,
66,The Adventures of Sherlock Holmes,1891,Arthur Conan Doyle,"Adventures of Sherlock Holmes; or, Held for Ransom",1905,"Adventures of Sherlock Holmes; or, Held for Ransom 1905",,
67,The Adventures of Sherlock Holmes,1891,Arthur Conan Doyle,The Adventures of Sherlock Holmes,1921,The Adventures of Sherlock Holmes 1921,,
68,The Adventures of Sherlock Holmes,1891,Arthur Conan Doyle,The Adventures of Sherlock Holmes,1939,The Adventures of Sherlock Holmes 1939,17481,1939
69,The Adventures of Sherlock Holmes,1891,Arthur Conan Doyle,The Adventures of Sherlock Holmes and Dr. Watson,1979,The Adventures of Sherlock Holmes and Dr. Watson 1979,,
70,The Adventures of Sherlock Holmes,1891,Arthur Conan Doyle,Sheerluck Holmes and the Golden Ruler,2006,Sheerluck Holmes and the Golden Ruler 2006,,
