,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdbid,year
1672,The Lady of the Camellias,1848,"Alexandre Dumas, fils",Camille,1926,Camille 1926,53431,1926
1673,The Lady of the Camellias,1848,"Alexandre Dumas, fils",Camille,1926,Camille 1926,53431,1926
1674,The Lady of the Camellias,1848,"Alexandre Dumas, fils",Camille,1936,Camille 1936,43874,1936
1675,The Lady of the Camellias,1848,"Alexandre Dumas, fils",Camille 2000,1969,Camille 2000 1969,36446,1969
1676,The Lady of the Camellias,1848,"Alexandre Dumas, fils",Camille,1984,Camille 1984,167033,1984
1677,The Lair of the White Worm,1911,Bram Stoker,The Lair of the White Worm,1988,The Lair of the White Worm 1988,11347,1988
1678,La lampe dans la fenêtre,1972,,Cordélia,1980,Cordélia 1980,402204,1980
1679,The Land That Time Forgot,1918,Edgar Rice Burroughs,The Caspak Trilogy,1975,The Caspak Trilogy 1975,,
1680,The Land That Time Forgot,1918,Edgar Rice Burroughs,The Land That Time Forgot,1975,The Land That Time Forgot 1975,,
1681,The Land That Time Forgot,1918,Edgar Rice Burroughs,The People That Time Forgot,1977,The People That Time Forgot 1977,27591,1977
1682,The People That Time Forgot,1918,Edgar Rice Burroughs,The People That Time Forgot,1977,The People That Time Forgot 1977,27591,1977
1683,The Land That Time Forgot,1918,Edgar Rice Burroughs,The Land That Time Forgot,2009,The Land That Time Forgot 2009,21260,2009
1684,Lassie Come-Home,1940,Eric Knight,Lassie,1943,Lassie 1943,,
1685,Lassie Come-Home,1940,Eric Knight,Lassie Come Home,1943,Lassie Come Home 1943,2202,1943
1686,Lassie Come-Home,1940,Eric Knight,Son of Lassie,1945,Son of Lassie 1945,43177,1945
1687,Lassie Come-Home,1940,Eric Knight,Courage of Lassie,1946,Courage of Lassie 1946,61856,1946
1688,Lassie Come-Home,1940,Eric Knight,Hills of Home,1948,Hills of Home 1948,128854,1948
1689,Lassie Come-Home,1940,Eric Knight,The Sun Comes Up,1949,The Sun Comes Up 1949,131488,1949
1690,Lassie Come-Home,1940,Eric Knight,Challenge to Lassie,1950,Challenge to Lassie 1950,,
1691,Lassie Come-Home,1940,Eric Knight,The Painted Hills,1951,The Painted Hills 1951,,
1692,Lassie Come-Home,1940,Eric Knight,Lassie's Great Adventure,1963,Lassie's Great Adventure 1963,251813,1963
1693,Lassie Come-Home,1940,Eric Knight,The Magic of Lassie,1988,The Magic of Lassie 1988,,
1694,Lassie Come-Home,1940,Eric Knight,Lassie,1994,Lassie 1994,29918,1994
1695,Lassie Come-Home,1940,Eric Knight,Lassie,2005,Lassie 2005,14597,2005
1696,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,The Last Days of Pompeii,1900,The Last Days of Pompeii 1900,465498,1900
1697,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,The Last Days of Pompeii,0,The Last Days of Pompeii 0,,
1698,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,The Last Days of Pompeii,0,The Last Days of Pompeii 0,,
1699,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,The Last Days of Pompeii,0,The Last Days of Pompeii 0,,
1700,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,The Last Days of Pompeii,0,The Last Days of Pompeii 0,,
1701,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,The Last Days of Pompeii,0,The Last Days of Pompeii 0,,
1702,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,Gli ultimi giorni di Pompei,1908,Gli ultimi giorni di Pompei 1908,,
1703,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,Gli ultimi giorni di Pompei,1913,Gli ultimi giorni di Pompei 1913,,
1704,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,Gli ultimi giorni di Pompei,1926,Gli ultimi giorni di Pompei 1926,,
1705,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,The Last Days of Pompeii,1935,The Last Days of Pompeii 1935,170558,1935
1706,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,Gli ultimi giorni di Pompei,0,Gli ultimi giorni di Pompei 0,,
1707,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,Les Derniers Jours de Pompéi,1950,Les Derniers Jours de Pompéi 1950,,
1708,The Last Days of Pompeii,1834,Edward Bulwer-Lytton,Gli ultimi giorni di Pompei,1959,Gli ultimi giorni di Pompei 1959,,
1709,The Last Detail,1970,Darryl Ponicsan,The Last Detail,1973,The Last Detail 1973,14886,1973
1710,The Last Hunt,1954,Milton Lott,The Last Hunt,1956,The Last Hunt 1956,127564,1956
1711,The Last of the Duanes,1913,Zane Grey,The Last of the Duanes,1919,The Last of the Duanes 1919,,
1712,The Last of the Duanes,1913,Zane Grey,The Last of the Duanes,1924,The Last of the Duanes 1924,,
1713,The Last of the Duanes,1913,Zane Grey,The Last of the Duanes,1930,The Last of the Duanes 1930,302585,1930
1714,The Last of the Duanes,1913,Zane Grey,El último de los Vargas,1930,El último de los Vargas 1930,,
1715,The Last of the Duanes,1913,Zane Grey,Last of the Duanes,1941,Last of the Duanes 1941,97629,1941
1716,The Last of the Mohicans,1826,James Fenimore Cooper,The Last of the Mohicans,1912,The Last of the Mohicans 1912,,
1717,The Last of the Mohicans,1826,James Fenimore Cooper,The Last of the Mohicans,1920,The Last of the Mohicans 1920,71065,1920
1718,The Last of the Mohicans,1826,James Fenimore Cooper,The Last of the Mohicans,1920,The Last of the Mohicans 1920,71065,1920
1719,The Last of the Mohicans,1826,James Fenimore Cooper,Der Letzte der Mohikaner,0,Der Letzte der Mohikaner 0,,
1720,The Last of the Mohicans,1826,James Fenimore Cooper,The Last of the Mohicans,1932,The Last of the Mohicans 1932,156381,1932
1721,The Last of the Mohicans,1826,James Fenimore Cooper,The Last of the Mohicans,1936,The Last of the Mohicans 1936,23108,1936
1722,The Last of the Mohicans,1826,James Fenimore Cooper,The Last of the Mohicans,1971,The Last of the Mohicans 1971,,
1723,The Last of the Mohicans,1826,James Fenimore Cooper,The Last of the Mohicans,1977,The Last of the Mohicans 1977,,
1724,The Last of the Mohicans,1826,James Fenimore Cooper,The Last of the Mohicans,1992,The Last of the Mohicans 1992,9361,1992
1725,The Last Picture Show,1966,Larry McMurtry,The Last Picture Show,1971,The Last Picture Show 1971,25188,1971
1726,The Last Ride,1996,Thomas Eidson,The Missing,2003,The Missing 2003,12146,2003
1727,The Last Ride,1996,Thomas Eidson,The Missing,2003,The Missing 2003,63914,2003
1728,The Last Song,2009,Nicholas Sparks,The Last Song,2010,The Last Song 2010,35690,2010
1729,Last Stand at Papago Wells,1957,Louis L'Amour,Apache Territory,1958,Apache Territory 1958,110674,1958
1730,Last Stand at Saber River,1959,Elmore Leonard,Last Stand at Saber River,1997,Last Stand at Saber River 1997,55576,1997
1731,The Last Unicorn,1968,Peter S. Beagle,The Last Unicorn,1982,The Last Unicorn 1982,10150,1982
1732,The Late George Apley,1937,John P. Marquand,The Late George Apley,1947,The Late George Apley 1947,181537,1947
1733,Lay This Laurel,1973,Lincoln Kirstein,Glory,1989,Glory 1989,9665,1989
1734,One Gallant Rush,1965,Peter Burchard,Glory,1989,Glory 1989,9665,1989
1735,Layer Cake,2000,J. J. Connolly,Layer Cake,2004,Layer Cake 2004,4836,2004
1736,Laura,1942,Vera Caspary,Laura,1944,Laura 1944,1939,1944
1737,Laura,1942,Vera Caspary,Laura,1962,Laura 1962,495553,1962
1738,Laura,1942,Vera Caspary,Laura,1968,Laura 1968,117967,1968
1739,Law and Order,1973,Dorothy Uhnako,Law and Order,1976,Law and Order 1976,,
1740,The Law at Randado,1954,Elmore Leonard,Border Shootout,1990,Border Shootout 1990,,
1741,Law Man,1955,Lauran Paine,The Quiet Gun,1957,The Quiet Gun 1957,211572,1957
1742,Lawyer Man,1932,,Lawyer Man,1933,Lawyer Man 1933,126922,1933
1743,Leaving Cheyenne,1963,Larry McMurtry,Lovin' Molly,1974,Lovin' Molly 1974,172340,1974
1744,The Ledger,1970,Dorothy Uhnak,Get Christie Love!,1974,Get Christie Love! 1974,252144,1974
1745,Left Behind,1995,Tim LaHaye,Left Behind,2000,Left Behind 2000,37302,2000
1746,Left Behind,1995,Tim LaHaye,Left Behind: The Movie,2000,Left Behind: The Movie 2000,,
1747,Left Behind,1995,Tim LaHaye,Left Behind II: Tribulation Force,2002,Left Behind II: Tribulation Force 2002,29229,2002
1748,Left Behind,1995,Tim LaHaye,Left Behind: World at War,2005,Left Behind: World at War 2005,,
1749,Lemonade Mouth,2007,,Lemonade Mouth,2011,Lemonade Mouth 2011,65218,2011
1750,Lemonade Mouth,2007,,Lemonade Mouth 2,2012,Lemonade Mouth 2 2012,,
1751,The Leopard,1958,Giuseppe Tomasi di Lampedusa,The Leopard,1963,The Leopard 1963,1040,1963
1752,Less Than Zero,1985,Bret Easton Ellis,Less Than Zero,1987,Less Than Zero 1987,,
1753,Let the Right One In,2004,John Ajvide Lindqvist,Let the Right One In,2008,Let the Right One In 2008,13310,2008
1754,Let the Right One In,2004,John Ajvide Lindqvist,Let Me In,2010,Let Me In 2010,41402,2010
1755,Letter to Five Wives,1946,,A Letter to Three Wives,1949,A Letter to Three Wives 1949,45578,1949
1756,Let Me Count the Ways,1965,Peter De Vries,How Do I Love Thee?,1970,How Do I Love Thee? 1970,,
1757,Les Liaisons dangereuses,1782,Pierre Choderlos de Laclos,Les liaisons dangereuses,1959,Les liaisons dangereuses 1959,,
1758,Les Liaisons dangereuses,1782,Pierre Choderlos de Laclos,Les Liaisons dangereuses,1980,Les Liaisons dangereuses 1980,,
1759,Les Liaisons dangereuses,1782,Pierre Choderlos de Laclos,Dangerous Liaisons,1988,Dangerous Liaisons 1988,859,1988
1760,Les Liaisons dangereuses,1782,Pierre Choderlos de Laclos,Valmont,1989,Valmont 1989,37606,1989
1761,Les Liaisons dangereuses,1782,Pierre Choderlos de Laclos,Cruel Intentions,1999,Cruel Intentions 1999,796,1999
1762,Les Liaisons dangereuses,1782,Pierre Choderlos de Laclos,Untold Scandal,2003,Untold Scandal 2003,50476,2003
1763,Les Liaisons dangereuses,1782,Pierre Choderlos de Laclos,Les Liaisons dangereuses,2003,Les Liaisons dangereuses 2003,,
1764,Les Liaisons dangereuses,1782,Pierre Choderlos de Laclos,Michael Lucas' Dangerous Liaisons,2005,Michael Lucas' Dangerous Liaisons 2005,,
1765,The Life Before Us,1975,Romain Gary,Madame Rosa,1977,Madame Rosa 1977,42223,1977
1766,The Life Before Us,1975,Romain Gary,The Life Before Us,2010,The Life Before Us 2010,,
1767,Life of Pi,2001,Yann Martel,Life of Pi (film),2012,Life of Pi (film) 2012,,
1768,The Lincoln Lawyer,2005,Michael Connelly,The Lincoln Lawyer,2011,The Lincoln Lawyer 2011,50348,2011
1769,A Lion Is in the Streets,1945,Adria Locke Langley,A Lion Is in the Streets,1953,A Lion Is in the Streets 1953,109332,1953
1770,Little Dorrit,1855,Charles Dickens,Little Dorrit,1913,Little Dorrit 1913,396037,1913
1771,Little Dorrit,1855,Charles Dickens,Little Dorrit,1920,Little Dorrit 1920,,
1772,Little Dorrit,1855,Charles Dickens,Klein Dorrit,1934,Klein Dorrit 1934,,
1773,Little Dorrit,1855,Charles Dickens,Little Dorrit,1988,Little Dorrit 1988,,
1774,Little Dorrit,1855,Charles Dickens,Little Dorrit,2008,Little Dorrit 2008,,
1775,The Lizard's Tail,1979,,The Hand,1981,The Hand 1981,42149,1981
1776,Eine Liebe in Deutschland,1978,Rolf Hochhuth,Eine Liebe in Deutschland,0,Eine Liebe in Deutschland 0,,
1777,Eine Liebe in Deutschland,1978,Rolf Hochhuth,A Love in Germany,1983,A Love in Germany 1983,2285,1983
1778,"The Life and Opinions of Tristram Shandy, Gentleman",1759,Laurence Sterne,A Cock and Bull Story,2006,A Cock and Bull Story 2006,,
1779,The Light in the Forest,1953,Conrad Richter,The Light in the Forest,1958,The Light in the Forest 1958,64865,1958
1780,The Light of Western Stars,1914,Zane Grey,The Light of the Western Stars,1918,The Light of the Western Stars 1918,,
1781,The Light of Western Stars,1914,Zane Grey,The Light of Western Stars,1925,The Light of Western Stars 1925,,
1782,The Light of Western Stars,1914,Zane Grey,The Light of Western Stars,1930,The Light of Western Stars 1930,148861,1930
1783,The Light of Western Stars,1914,Zane Grey,The Light of Western Stars,1940,The Light of Western Stars 1940,78155,1940
1784,Like a Fire is Burning,1991,Gerald N. Lund,The Work and the Glory: American Zion,2005,The Work and the Glory: American Zion 2005,,
1785,Little Caesar,1929,W. R. Burnett,Little Caesar,1931,Little Caesar 1931,27899,1931
1786,Little Caesar,1929,W. R. Burnett,Black Caesar,1973,Black Caesar 1973,22029,1973
1787,Little Caesar,1929,W. R. Burnett,Hell Up in Harlem,1973,Hell Up in Harlem 1973,,
1788,The Little Drummer Girl,1983,John le Carré,The Little Drummer Girl,1984,The Little Drummer Girl 1984,32088,1984
1789,The Little White Horse,1946,Elizabeth Goudge,The Secret of Moonacre,2009,The Secret of Moonacre 2009,,
1790,Live and Let Die,1954,Ian Fleming,Live and Let Die,1973,Live and Let Die 1973,253,1973
1791,Live Flesh,1986,Ruth Rendell,Carne trémula,0,Carne trémula 0,,
1792,Live Flesh,1986,Ruth Rendell,Live Flesh,1997,Live Flesh 1997,267,1997
1793,Loaded,1995,Christos Tsiolkas,Head On,1998,Head On 1998,13817,1998
1794,Lobo,1900,Ernest Thompson Seton,The Legend of Lobo,1962,The Legend of Lobo 1962,64871,1962
1795,Logan's Run,1967,William F. Nolan,Logan's Run,1976,Logan's Run 1976,10803,1976
1796,Logan's Run,1967,William F. Nolan,Logan's Run,2012,Logan's Run 2012,,
1797,Lolita,1955,Vladimir Nabokov,Lolita,1962,Lolita 1962,802,1962
1798,Lolita,1955,Vladimir Nabokov,Lolita,1997,Lolita 1997,9769,1997
1799,The Lone Star Ranger,1915,Zane Grey,The Lone Star Ranger,1919,The Lone Star Ranger 1919,,
1800,The Lone Star Ranger,1915,Zane Grey,The Lone Star Ranger,1923,The Lone Star Ranger 1923,550219,1923
1801,The Lone Star Ranger,1915,Zane Grey,The Lone Star Ranger,1930,The Lone Star Ranger 1930,477157,1930
1802,The Lone Star Ranger,1915,Zane Grey,Lone Star Ranger,1942,Lone Star Ranger 1942,446191,1942
1803,The Long Goodbye,1953,Raymond Chandler,The Long Goodbye,1973,The Long Goodbye 1973,1847,1973
1804,The Looters,1968,John H. Reese,Charley Varrick,1973,Charley Varrick 1973,27331,1973
1805,Lord Jim,1899,Joseph Conrad,Lord Jim,1925,Lord Jim 1925,,
1806,Lord Jim,1899,Joseph Conrad,Lord Jim,1965,Lord Jim 1965,11387,1965
1807,Lord of the Flies,1954,William Golding,Lord of the Flies,1963,Lord of the Flies 1963,,
1808,Lord of the Flies,1954,William Golding,Alkitrang dugo,1976,Alkitrang dugo 1976,,
1809,Lord of the Flies,1954,William Golding,Lord of the Flies,1990,Lord of the Flies 1990,,
1810,The Lord of the Rings,1955,,The Lord of the Rings: The Motion Picture Trilogy,2001,The Lord of the Rings: The Motion Picture Trilogy 2001,,
1811,The Lord of the Rings,1955,,The Lord of the Rings: The Two Towers,2002,The Lord of the Rings: The Two Towers 2002,121,2002
1812,The Two Towers,1954,J. R. R. Tolkien,The Lord of the Rings: The Two Towers,2002,The Lord of the Rings: The Two Towers 2002,121,2002
1813,The Lord of the Rings,1955,,The Lord of the Rings: The Return of the King,2003,The Lord of the Rings: The Return of the King 2003,122,2003
1814,The Return of the King,1955,J. R. R. Tolkien,The Lord of the Rings: The Return of the King,2003,The Lord of the Rings: The Return of the King 2003,122,2003
1815,The Lords of Discipline,1980,Pat Conroy,The Lords of Discipline,1983,The Lords of Discipline 1983,67530,1983
1816,Lost Horizon,1933,James Hilton,Lost Horizon,1937,Lost Horizon 1937,3598,1937
1817,Lost Horizon,1933,James Hilton,Lost Horizon,1973,Lost Horizon 1973,97519,1973
1818,The Lost Ones,1961,Donald G. Payne,The Island at the Top of the World,1974,The Island at the Top of the World 1974,42453,1974
1819,The Lost Symbol,2009,Dan Brown,The Lost Symbol,2012,The Lost Symbol 2012,,
1820,The Lost World,1912,Arthur Conan Doyle,The Lost World,1925,The Lost World 1925,2981,1925
1821,The Lost World,1912,Arthur Conan Doyle,The Lost World,1960,The Lost World 1960,2982,1960
1822,The Lost World,1912,Arthur Conan Doyle,The Lost World,1992,The Lost World 1992,2983,1992
1823,The Lost World,1912,Arthur Conan Doyle,Return to the Lost World,1992,Return to the Lost World 1992,50808,1992
1824,The Lost World,1912,Arthur Conan Doyle,The Lost World,1998,The Lost World 1998,2997,1998
1825,The Lost World,1912,Arthur Conan Doyle,The Lost World,1998,The Lost World 1998,2996,1998
1826,The Lost World,1912,Arthur Conan Doyle,Sir Arthur Conan Doyle's The Lost World,1999,Sir Arthur Conan Doyle's The Lost World 1999,,
1827,The Lost World,1912,Arthur Conan Doyle,The Lost World,2001,The Lost World 2001,3003,2001
1828,The Lost World,1912,Arthur Conan Doyle,King of the Lost World,2005,King of the Lost World 2005,31394,2005
1829,Lottie and Lisa,1949,Erich Kästner,Das doppelte Lottchen,1950,Das doppelte Lottchen 1950,,
1830,Lottie and Lisa,1949,Erich Kästner,The Lullaby of Hibari,1951,The Lullaby of Hibari 1951,,
1831,Lottie and Lisa,1949,Erich Kästner,Twice Upon a Time,1953,Twice Upon a Time 1953,210185,1953
1832,Lottie and Lisa,1949,Erich Kästner,The Parent Trap,1961,The Parent Trap 1961,19186,1961
1833,Lottie and Lisa,1949,Erich Kästner,The Parent Trap II,1987,The Parent Trap II 1987,,
1834,Lottie and Lisa,1949,Erich Kästner,Parent Trap III,1988,Parent Trap III 1988,,
1835,Lottie and Lisa,1949,Erich Kästner,Parent Trap: Hawaiian Honeymoon,1989,Parent Trap: Hawaiian Honeymoon 1989,92682,1989
1836,Lottie and Lisa,1949,Erich Kästner,Kuzanthaiyum Deivamum,1965,Kuzanthaiyum Deivamum 1965,,
1837,Lottie and Lisa,1949,Erich Kästner,Letha Manasulu,1966,Letha Manasulu 1966,302198,1966
1838,Lottie and Lisa,1949,Erich Kästner,Do Kaliyan,1968,Do Kaliyan 1968,307884,1968
1839,Lottie and Lisa,1949,Erich Kästner,Animation Tomboy Angels,1980,Animation Tomboy Angels 1980,,
1840,Lottie and Lisa,1949,Erich Kästner,Pyaar ke do Pal,1986,Pyaar ke do Pal 1986,,
1841,Lottie and Lisa,1949,Erich Kästner,I and Myself: The Two Lottes,1991,I and Myself: The Two Lottes 1991,,
1842,Lottie and Lisa,1949,Erich Kästner,Charlie & Louise - Das doppelte Lottchen,1994,Charlie & Louise - Das doppelte Lottchen 1994,,
1843,Lottie and Lisa,1949,Erich Kästner,khaharan-e- gharib,1995,khaharan-e- gharib 1995,,
1844,Lottie and Lisa,1949,Erich Kästner,The Parent Trap,1998,The Parent Trap 1998,9820,1998
1845,Lottie and Lisa,1949,Erich Kästner,Kuch Khatti Kuch Meethi,2001,Kuch Khatti Kuch Meethi 2001,165065,2001
1846,Lottie and Lisa,1949,Erich Kästner,Tur & Retur,2003,Tur & Retur 2003,,
1847,The Loved One,1948,Evelyn Waugh,The Loved One,1965,The Loved One 1965,16303,1965
1848,Love Story,1977,,Love Story,1970,Love Story 1970,9062,1970
1849,Love Story,1977,,Oliver's Story,1978,Oliver's Story 1978,163631,1978
1850,Oliver's Story,1977,Erich Segal,Oliver's Story,1978,Oliver's Story 1978,163631,1978
1851,The Lovely Bones,2002,Alice Sebold,The Lovely Bones,2009,The Lovely Bones 2009,7980,2009
1852,The Luck of Barry Lyndon,1844,William Makepeace Thackeray,Barry Lyndon,1975,Barry Lyndon 1975,3175,1975
1853,The Lucky One,2008,Nicholas Sparks,The Lucky One,2012,The Lucky One 2012,77877,2012
1854,El Lugar sin límites,1966,José Donoso,El lugar sin límites,0,El lugar sin límites 0,,
1855,El Lugar sin límites,1966,José Donoso,Hell Has No Limits,1978,Hell Has No Limits 1978,,
1856,The Lusty Men,1948,,The Lusty Men,1952,The Lusty Men 1952,43370,1952
1857,MacKenna's Gold,1963,Henry Wilson Allen,Mackenna's Gold,1969,Mackenna's Gold 1969,18118,1969
1858,Madame Doubtfire,1987,Anne Fine,Mrs. Doubtfire,1994,Mrs. Doubtfire 1994,,
1859,The Maddening,1987,Andrew Neiderman,The Maddening,1995,The Maddening 1995,,
1860,"The Magic Bed Knob; or, How to Become a Witch in Ten Easy Lessons",1945,,Bedknobs and Broomsticks,1971,Bedknobs and Broomsticks 1971,12335,1971
1861,The Magician,1908,W. Somerset Maugham,The Magician,1926,The Magician 1926,29466,1926
1862,Magnificent Obsession,1929,Lloyd C. Douglas,Magnificent Obsession,1935,Magnificent Obsession 1935,47920,1935
1863,Magnificent Obsession,1929,Lloyd C. Douglas,Magnificent Obsession,1954,Magnificent Obsession 1954,13457,1954
1864,Martin Eden,1909,Jack London,The Adventures of Martin Eden,1942,The Adventures of Martin Eden 1942,97577,1942
1865,Maître du monde,1904,Jules Verne,Master of the World,1961,Master of the World 1961,72693,1961
1866,Maître du monde,1904,Jules Verne,Master of the World,1976,Master of the World 1976,,
1867,Make Room! Make Room!,1966,Harry Harrison,Soylent Green,1973,Soylent Green 1973,12101,1973
1868,The Maltese Falcon,1930,Dashiell Hammett,The Maltese Falcon,1931,The Maltese Falcon 1931,28257,1931
1869,The Maltese Falcon,1930,Dashiell Hammett,Satan Met a Lady,1936,Satan Met a Lady 1936,28256,1936
1870,The Maltese Falcon,1930,Dashiell Hammett,The Maltese Falcon,1941,The Maltese Falcon 1941,963,1941
1871,The Maltese Falcon,1930,Dashiell Hammett,The Black Bird,1975,The Black Bird 1975,91554,1975
1872,The Man Called Noon,1970,Louis L'Amour,The Man Called Noon,1973,The Man Called Noon 1973,134223,1973
1873,The Man in Black,1964,Marvin H. Albert,Rough Night in Jericho,1967,Rough Night in Jericho 1967,64963,1967
1874,The Man in the Gray Flannel Suit,1955,Sloan Wilson,The Man in the Gray Flannel Suit,1956,The Man in the Gray Flannel Suit 1956,28290,1956
1875,Man on Fire,1980,A. J. Quinnell,Man on Fire,1987,Man on Fire 1987,49712,1987
1876,Man on Fire,1980,A. J. Quinnell,Man on Fire,2004,Man on Fire 2004,9509,2004
1877,The Man Who Fell to Earth,1963,Walter Travis,The Man Who Fell to Earth,1976,The Man Who Fell to Earth 1976,991,1976
1878,The Man Who Fell to Earth,1963,Walter Travis,The Man Who Fell to Earth,1987,The Man Who Fell to Earth 1987,170499,1987
1879,The Man Who Fell to Earth,1963,Walter Travis,The Man Who Fell to Earth,0,The Man Who Fell to Earth 0,,
1880,The Man Who Never Was,1954,Ewen Montagu,The Man Who Never Was,1956,The Man Who Never Was 1956,43791,1956
1881,The Man Who Watched the Trains Go By,1938,Georges Simenon,The Man Who Watched Trains Go By,1952,The Man Who Watched Trains Go By 1952,37340,1952
1882,The Man with the Golden Gun,1965,Ian Fleming,The Man with the Golden Gun,1974,The Man with the Golden Gun 1974,682,1974
1883,The Man Without a Face,1972,Isabelle Holland,The Man Without a Face,1993,The Man Without a Face 1993,10502,1993
1884,Man Without a Star,1952,,Man Without a Star,1955,Man Without a Star 1955,43319,1955
1885,The Manchurian Candidate,1959,Richard Condon,The Manchurian Candidate,1962,The Manchurian Candidate 1962,982,1962
1886,The Manchurian Candidate,1959,Richard Condon,The Manchurian Candidate,2004,The Manchurian Candidate 2004,14462,2004
1887,Manon des Sources,1966,Marcel Pagnol,Manon des Sources,1953,Manon des Sources 1953,,
1888,Manon des Sources,1966,Marcel Pagnol,Manon des Sources,1986,Manon des Sources 1986,,
1889,Marnie,1961,Winston Graham,Marnie,1964,Marnie 1964,506,1964
1890,Mary Poppins,1934,P. L. Travers,Mary Poppins,1964,Mary Poppins 1964,433,1964
1891,MASH: A Novel About Three Army Doctors,1968,Richard Hooker,MASH,1970,MASH 1970,,
1892,Marathon Man,1974,William Goldman,Marathon Man,1976,Marathon Man 1976,10518,1976
1893,The Matarese Circle,1979,Robert Ludlum,The Matarese Circle,2012,The Matarese Circle 2012,,
1894,Matilda,1988,Roald Dahl,Matilda,1996,Matilda 1996,10830,1996
1895,Maurice,1971,E. M. Forster,Maurice,1987,Maurice 1987,26371,1987
1896,The Mayor of Casterbridge,1886,Thomas Hardy,The Mayor of Casterbridge,1921,The Mayor of Casterbridge 1921,,
1897,The Mayor of Casterbridge,1886,Thomas Hardy,The Mayor of Casterbridge,1978,The Mayor of Casterbridge 1978,,
1898,The Mayor of Casterbridge,1886,Thomas Hardy,The Mayor of Casterbridge,2003,The Mayor of Casterbridge 2003,238792,2003
1899,The Mayor of Casterbridge,1886,Thomas Hardy,The Claim,2000,The Claim 2000,44853,2000
1900,McTeague,1899,Frank Norris,McTeague,1916,McTeague 1916,,
1901,McTeague,1899,Frank Norris,Greed,1924,Greed 1924,,
1902,Me and Earl and the Dying Girl,2012,Jesse Andrews,Me and Earl and the Dying Girl,0,Me and Earl and the Dying Girl 0,,
1903,The Medusa Touch,1973,Peter Van Greenaway,The Medusa Touch,1978,The Medusa Touch 1978,11623,1978
1904,The Memoirs of Cleopatra,1997,Margaret George,Cleopatra,1999,Cleopatra 1999,,
1905,The Mephisto Waltz,1969,Fred Mustard Stewart,The Mephisto Waltz,1971,The Mephisto Waltz 1971,40158,1971
1906,Mercy Island,1941,Theodore Pratt,Mercy Island,1941,Mercy Island 1941,218304,1941
1907,Merton of the Movies,1919,Harry Leon Wilson,Merton of the Movies,1924,Merton of the Movies 1924,,
1908,Merton of the Movies,1919,Harry Leon Wilson,Make Me a Star,1932,Make Me a Star 1932,,
1909,Merton of the Movies,1919,Harry Leon Wilson,Merton of the Movies,1947,Merton of the Movies 1947,106822,1947
1910,Message in a Bottle,1998,Nicholas Sparks,Message in a Bottle,1999,Message in a Bottle 1999,10207,1999
1911,Miami Mayhem,1961,,Tony Rome,1967,Tony Rome 1967,26204,1967
1912,Miami Mayhem,1961,,Lady in Cement,1968,Lady in Cement 1968,42630,1968
1913,Midnight and Jeremiah,1943,Sterling North,So Dear to My Heart,1949,So Dear to My Heart 1949,,
1914,A Midnight Clear,1982,William Wharton,A Midnight Clear,1992,A Midnight Clear 1992,23908,1992
1915,The Midwich Cuckoos,1957,John Wyndham,Village of the Damned,1960,Village of the Damned 1960,11773,1960
1916,The Midwich Cuckoos,1957,John Wyndham,Children of the Damned,1963,Children of the Damned 1963,,
1917,The Midwich Cuckoos,1957,John Wyndham,Village of the Damned,1995,Village of the Damned 1995,12122,1995
1918,Mildred Pierce,1941,James M. Cain,Mildred Pierce,1945,Mildred Pierce 1945,3309,1945
1919,Millennium,1983,John Varley,Millennium,1989,Millennium 1989,4296,1989
1920,Millennium,2007,,Millennium,2009,Millennium 2009,,
1921,Millennium,2007,,The Girl with the Dragon Tattoo,2009,The Girl with the Dragon Tattoo 2009,15472,2009
1922,Millennium,2007,,The Girl Who Played with Fire,2009,The Girl Who Played with Fire 2009,24253,2009
1923,Millennium,2007,,The Girl Who Kicked the Hornets' Nest,2009,The Girl Who Kicked the Hornets' Nest 2009,,
1924,Millennium,2007,,The Girl with the Dragon Tattoo,2011,The Girl with the Dragon Tattoo 2011,65754,2011
1925,Millennium,2007,,The Girl Who Played with Fire,2013,The Girl Who Played with Fire 2013,,
1926,Millennium,2007,,The Girl Who Kicked the Hornets' Nest,2014,The Girl Who Kicked the Hornets' Nest 2014,,
1927,"Mine-Haha, or On the Bodily Education of Young Girls",1903,Frank Wedekind,Innocence,2004,Innocence 2004,33623,2004
1928,"Mine-Haha, or On the Bodily Education of Young Girls",1903,Frank Wedekind,The Fine Art of Love: Mine Ha-Ha,2005,The Fine Art of Love: Mine Ha-Ha 2005,61950,2005
1929,The Mirror Crack'd from Side to Side,1962,Agatha Christie,The Mirror Crack'd,1980,The Mirror Crack'd 1980,6028,1980
